path,line,classification,reason,snippet
alrajhi_client/views/frameless_dialog.py,84,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties," apply_branded_dialog(self, self.windowTitle(), role='frameless') self.setStyleSheet(ThemeManager.get_stylesheet())  self._position_timer = QTimer(self)"
alrajhi_client/views/main_window.py,479,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"self.menu_bar = CleanShellNavigationBar(self) self.menu_bar.setProperty('basitShellChrome', True) self.menu_bar.setStyleSheet(navigation_bar_stylesheet()) # Phase 318 compatibility marker: self.menu_bar.setFixedHeight(66) self.menu_bar.setFixedHeight(NAV_BAR_H"
alrajhi_client/views/main_window.py,680,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,self.menu_bar.setLayoutDirection(qt_layout_direction(self._current_language)) self.menu_bar.setFixedHeight(NAV_BAR_HEIGHT) self.menu_bar.setStyleSheet(navigation_bar_stylesheet()) callback_map = self._menu_callback_map() 
alrajhi_client/views/modern_topbar.py,24,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"self.setLayoutDirection(Qt.RightToLeft) self.badge = QLabel(str(badge_count) if badge_count > 0 else """") self.badge.setStyleSheet("""""" background-color: #ef4444; color: white;"
alrajhi_client/views/modern_topbar.py,97,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"self.alert_badge.setFixedHeight(18) self.alert_badge.setMinimumWidth(18) self.alert_badge.setStyleSheet("""""" QLabel#ShellAlertBadge { background-color: #ef4444;"
alrajhi_client/views/modern_topbar.py,253,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"}  self.setStyleSheet(f"""""" #ModernTopBar {{ background-color: {c['bg_panel']};"
alrajhi_client/views/splash_screen.py,59,branded_startup_allowed,startup/login surfaces already have dedicated branded contracts,"self.container.setProperty(""interactiveStageButtons"", False) apply_first_run_surface(self.container, ""splash"") self.container.setStyleSheet("""") DesignSystem.apply_shadow(self.container, blur=34, y=12, alpha=95) "
alrajhi_client/views/widgets/dashboard_legacy_components.py,37,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"self.setCursor(Qt.PointingHandCursor) self.setMinimumHeight(116) self.setStyleSheet(f''' QFrame#KPIStatCard {{ background: {_dc('card_bg', '#FFFFFF')};"
alrajhi_client/views/widgets/dashboard_legacy_components.py,117,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"self.setProperty('dashboardVisualPhase', 437) self.setProperty('basitCard', False) self.setStyleSheet(f''' QPushButton {{ background: {_dc('dashboard_shortcut_primary_bg', '#0A6D9A')};"
alrajhi_client/views/widgets/dashboard_legacy_components.py,138,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"self.setProperty('basitPanel', False) self.setProperty('dashboardVisualPhase', 437) self.setStyleSheet(f''' QFrame#DashboardPanel {{ background: {_dc('dashboard_panel_bg', _dc('card_bg', '#F8FBFF'))};"
alrajhi_client/views/widgets/dashboard_widget.py,73,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole," def _build_ui(self): self.setStyleSheet(f''' QWidget#DashboardWidget {{ background: {_dc('bg_window', '#F5F7FA')}; }} QWidget#DashboardPage {{"
alrajhi_client/views/widgets/dashboard_widget.py,222,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"hero.setObjectName('DashboardHero') hero.setMinimumHeight(128) hero.setStyleSheet(f''' QFrame#DashboardHero {{ background: qlineargradient(x1:0, y1:0, x2:1, y2:0, stop:0 {_dc('primary', '#0F3D75')}, stop:0.58 {_dc('primary_2', '#1E5AA8')}, stop:1 {_dc('accent'"
alrajhi_client/views/widgets/dashboard_widget.py,426,mixed_legacy_style,has tokenized style but still includes literal colors/backgrounds,"panel.setProperty('basitPanel', False) panel.setProperty('dashboardPanelRole', 'company_identity') panel.setStyleSheet(panel.styleSheet() + ''' /* Phase437 identity-aligned company card; old Basit hard border removed. */ QLabel#CompanyLogoBox { background: #ff"
alrajhi_client/views/widgets/dashboard_widget.py,539,mixed_legacy_style,has tokenized style but still includes literal colors/backgrounds,"panel.setProperty('basitPanel', False) panel.setProperty('dashboardPanelRole', 'cashbox') panel.setStyleSheet(panel.styleSheet() + """""" QLabel#CashSectionTitle { background: #EAF4FF; color: #0B3D63; border: 1px solid #C7DAEE; border-radius: 12px; padding: 7px 1"
alrajhi_client/views/widgets/dashboard_widget.py,566,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"self.cash_visibility_btn.setIcon(qta.icon('fa5s.eye-slash' if self._cash_balances_hidden else 'fa5s.eye', color='#334155')) self.cash_visibility_btn.clicked.connect(self._toggle_cash_visibility) self.cash_visibility_btn.setStyleSheet('QPushButton { background:"
alrajhi_client/views/widgets/dashboard_widget.py,571,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,self.cash_mode_btn.setMinimumHeight(30) self.cash_mode_btn.clicked.connect(self._toggle_cash_movement_mode) self.cash_mode_btn.setStyleSheet('QPushButton { background: #EAF4FF; border: 1px solid #C7DAEE; border-radius: 15px; color: #0B3D63; font-weight: 900; p
alrajhi_client/views/widgets/dashboard_widget.py,581,mixed_legacy_style,has tokenized style but still includes literal colors/backgrounds,"movement_box.setProperty('basitPanel', False) movement_box.setProperty('dashboardVisualPhase', 437) movement_box.setStyleSheet('QFrame#CashMovementBox { background: #FFFFFF; border: 1px solid #D8E5F2; border-radius: 16px; } QLabel { border: none; }') movement_"
alrajhi_client/views/widgets/dashboard_widget.py,625,mixed_legacy_style,has tokenized style but still includes literal colors/backgrounds,"balance_box.setObjectName('CashBalanceBox') balance_box.setProperty('basitTotalFooter', True) balance_box.setStyleSheet('QFrame#CashBalanceBox { background: #FFF7ED; border: 1px solid #FED7AA; border-radius: 16px; } QLabel { border: none; }') balance_layout = "
alrajhi_client/views/widgets/dashboard_widget.py,645,mixed_legacy_style,has tokenized style but still includes literal colors/backgrounds,"currency_box.setProperty('basitPanel', False) currency_box.setProperty('dashboardVisualPhase', 437) currency_box.setStyleSheet('QFrame#CashCurrencyBox { background: #FFFFFF; border: 1px solid #D8E5F2; border-radius: 16px; } QLabel { border: none; }') currency_"
alrajhi_client/views/widgets/dashboard_widget.py,701,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"panel.setProperty('dashboardVisualPhase', 437) panel.setProperty('projectVisualIdentityPhase', '439') panel.setStyleSheet(f"""""" QFrame#DeveloperBrandPanel {{ background: qlineargradient(x1:0, y1:0, x2:1, y2:0, stop:0 #F8FBFF, stop:1 #EEF8FA);"
alrajhi_client/views/widgets/dashboard_widget.py,393,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"border = _dc('dashboard_panel_header_border', '#C7DAEE') btn.setIcon(qta.icon(f'fa5s.{icon}', color=fg)) btn.setStyleSheet(f''' QPushButton#DashboardDailyActionButton {{ background: {bg};"
alrajhi_client/views/widgets/dashboard_widget.py,594,mixed_legacy_style,has tokenized style but still includes literal colors/backgrounds,"card.setProperty('basitMetricCard', False) card.setProperty('dashboardVisualPhase', 437) card.setStyleSheet('QFrame { background: #F8FBFF; border: 1px solid #D8E5F2; border-radius: 14px; } QLabel { border: none; }') lay = QHBoxLayout(card) lay.setContentsMargi"
alrajhi_client/views/widgets/dashboard_widget.py,607,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,value_label.setObjectName('CashMetricValue') value_label.setAlignment(Qt.AlignRight | Qt.AlignVCenter) value_label.setStyleSheet(f'color: {accent};') text_col.addWidget(title_label) text_col.addWidget(value_label)
alrajhi_client/views/widgets/dashboard_widget.py,789,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"): row = QFrame() row.setStyleSheet('QFrame { background: #f8fafc; border: 1px solid #e2e8f0; border-radius: 12px; } QLabel { border: none; }') layout = QHBoxLayout(row) layout.setContentsMargins(10, 8, 10, 8)"
alrajhi_client/views/widgets/dashboard_widget.py,793,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"layout.setContentsMargins(10, 8, 10, 8) title_label = QLabel(title) title_label.setStyleSheet('font-weight: 800; color: #334155;') value_label = QLabel('—') value_label.setAlignment(Qt.AlignLeft | Qt.AlignVCenter)"
alrajhi_client/views/widgets/dashboard_widget.py,796,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,value_label = QLabel('—') value_label.setAlignment(Qt.AlignLeft | Qt.AlignVCenter) value_label.setStyleSheet('font-weight: 900; color: #0f172a;') layout.addWidget(value_label) layout.addStretch()
alrajhi_client/views/widgets/invoices_widget.py,72,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"def _apply_page_style(self): c = ThemeManager.colors() self.setStyleSheet(f"""""" QWidget {{ background: {c['bg_window']};"
alrajhi_client/views/widgets/pos_widget.py,624,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"if change > 0: self.change_label.setText(translate(""change_due_customer"", amount=currency.format_amount(change))) self.change_label.setStyleSheet(f""font-size: 18px; font-weight: bold; color: {ThemeManager.get('success')};"") elif change < 0: self.change_label.s"
alrajhi_client/views/widgets/pos_widget.py,627,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"elif change < 0: self.change_label.setText(translate(""remaining_amount"", amount=currency.format_amount(abs(change)))) self.change_label.setStyleSheet(f""font-size: 18px; font-weight: bold; color: {ThemeManager.get('danger')};"") else: self.change_label.setText(t"
alrajhi_client/views/widgets/pos_widget.py,630,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"else: self.change_label.setText(translate(""change_zero"")) self.change_label.setStyleSheet(f""font-size: 18px; font-weight: bold; color: {ThemeManager.get('success')};"") except Exception: pass"
alrajhi_client/views/widgets/settings_widget.py,2229,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"msg = str(info.get('message') or '') self.server_status_label.setText(('✅ ' if running else '⚪ ') + msg) self.server_status_label.setStyleSheet(f""color: {ThemeManager.get('success') if running else ThemeManager.get('text_secondary')};"") if hasattr(self, 'serve"
alrajhi_client/views/widgets/settings_widget.py,2289,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"ok, message, info = system_service.server_diagnostics(url, timeout=4, require_routes=True) self.net_connection_label.setText((translate('settings_network_connected') if ok else translate('settings_network_not_compatible')) + f""\n{message}"") self.net_connection"
alrajhi_client/views/widgets/toast_notification.py,41,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"fg = tokens.get(fg_key, tokens.get('text_primary')) accent = tokens.get(accent_key, tokens.get('accent')) self.setStyleSheet(f"""""" QFrame#ToastNotification {{ background: {bg};"
alrajhi_client/features/items/item_editor_tab.py,408,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,pass try: self.setStyleSheet('') self.style().unpolish(self) self.style().polish(self)
alrajhi_client/features/pos/pos_payment_shell.py,102,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"label.setProperty(""visualRole"", ""operational_metric_value"") label.setProperty(""metricRole"", role) label.setStyleSheet(f""font-size: 22px; font-weight: bold; color: {ThemeManager.get('primary')};"") return label "
alrajhi_client/features/pos/pos_payment_shell.py,155,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"self.paid_spin.setMinimumHeight(spin_h) self.payment_combo.setMinimumHeight(spin_h) self.total_label.setStyleSheet(f""font-size: {total_px}px; font-weight: bold; color: {ThemeManager.get('primary')};"") self.change_label.setStyleSheet(f""font-size: {change_px}px;"
alrajhi_client/features/pos/pos_payment_shell.py,156,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"self.payment_combo.setMinimumHeight(spin_h) self.total_label.setStyleSheet(f""font-size: {total_px}px; font-weight: bold; color: {ThemeManager.get('primary')};"") self.change_label.setStyleSheet(f""font-size: {change_px}px; font-weight: bold; color: {ThemeManager"
alrajhi_client/ui/dashboard_components.py,37,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,self._accent = self._tone_color(tone) self.setMinimumHeight(118) self.setStyleSheet(self._style())  layout = QVBoxLayout(self)
alrajhi_client/ui/dashboard_components.py,124,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"self.setLayoutDirection(qt_layout_direction()) self.setMinimumHeight(220) self.setStyleSheet(f"""""" QFrame#DashboardChartPanel {{ background: {DesignSystem.color('card_bg', '#ffffff')};"
alrajhi_client/ui/design_system.py,103,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"label.setAlignment(Qt.AlignCenter) px = int(size or DesignSystem.FONT_HERO_PX) label.setStyleSheet(f""font-size: {px}px; font-weight: 800; color: {DesignSystem.color('text_primary', '#1A202C')};"") return label "
alrajhi_client/ui/design_system.py,112,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"label.setAlignment(Qt.AlignCenter) label.setWordWrap(True) label.setStyleSheet(f""font-size: {DesignSystem.FONT_VALUE_PX}px; color: {DesignSystem.color('text_secondary', '#4A5568')};"") return label "
alrajhi_client/ui/design_system.py,127,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"label.setObjectName('statusPill') label.setAlignment(Qt.AlignCenter) label.setStyleSheet(f"""""" QLabel#statusPill {{ color: {DesignSystem.color(fg_key)};"
alrajhi_client/ui/dialog_branding.py,260,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"apply_modal_visual_template(dialog, role or ""system"") try: dialog.setStyleSheet(ThemeManager.get_stylesheet()) except Exception: pass"
alrajhi_client/ui/dialog_branding.py,279,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"apply_modal_visual_template(box, role or ""info"") try: box.setStyleSheet(ThemeManager.get_stylesheet()) except Exception: pass"
alrajhi_client/ui/operational_fullscreen_controller.py,62,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"def _apply_exit_button_style(self, button: QPushButton) -> None: colors = get_tokens(settings_service.get_theme() or ""light"") button.setStyleSheet(f"""""" QPushButton#OperationalFullscreenExitButton {{ background: {colors.get('basit_red', colors['danger'])};"
alrajhi_client/ui/post_login_transition_overlay.py,35,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"self.resize(int(BRAND.get(""post_login_overlay_width"", 620)), int(BRAND.get(""post_login_overlay_height"", 250))) self.setMinimumSize(int(BRAND.get(""post_login_overlay_min_width"", 560)), int(BRAND.get(""post_login_overlay_min_height"", 220))) self.setStyleSheet(The"
alrajhi_client/ui/smart_table_view.py,227,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"self.apply_enterprise_defaults() self._install_enterprise_shortcuts() self.setStyleSheet(self.styleSheet() + """""" QTableView#SmartTableView, QTableView { gridline-color: palette(mid);"
alrajhi_client/ui/visual_state.py,50,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"try: if clear_local_style and widget.styleSheet(): widget.setStyleSheet("""") widget.setProperty(""visualState"", state) widget.setProperty(""visualStateWeight"", weight)"
